feature,class_corr,status,redundant_with
V17,0.3264810672437159,selected,
V14,0.3025436958044029,selected,
V12,0.26059292487722485,selected,
V10,0.21688294364103206,selected,
V16,0.19653894030401733,selected,
V3,0.192960827067416,selected,
V7,0.18725659151430013,selected,
V11,0.15487564474394433,selected,
V4,0.13344748623900715,selected,
V18,0.11148525388904133,selected,
V1,0.10134729859508294,selected,
V9,0.09773268607408069,selected,
V5,0.09497429899144802,selected,
V2,0.0912886503446179,selected,
V6,0.04364316069996495,selected,
V21,0.04041338061057565,selected,
V19,0.034783013036515056,selected,
V20,0.020090324196974638,selected,
V8,0.019875123914794384,selected,
V27,0.017579728189513477,selected,
Time,0.012322570929245588,dropped,V3
V28,0.00953604091623609,selected,
V24,0.007220906715952583,selected,
Amount,0.005631753006768552,dropped,V2
V13,0.004569778799461311,selected,
V26,0.004455397501283329,selected,
V15,0.004223402267856676,selected,
V25,0.0033077055972996604,selected,
V23,0.00268515574025078,selected,
V22,0.0008053175052983059,selected,
