feature_set,imbalance_strategy,model,mean_prauc,std_prauc
selected,random_over,xgboost,0.859094220041564,0.08053252927155989
selected,class_weight,xgboost,0.8574349730641074,0.08180468808332539
full,class_weight,xgboost,0.8555377164021228,0.08243086029259426
full,random_over,xgboost,0.8552720884909171,0.08011399274759025
mannwhitney,class_weight,xgboost,0.8529523995719062,0.08363906604532183
mannwhitney,random_over,xgboost,0.851696221570095,0.08458091747269199
full,class_weight,random_forest,0.8511128515661597,0.07913828569115454
mannwhitney,random_over,random_forest,0.8505312455681497,0.08623509470036615
selected,random_over,random_forest,0.8503945750129633,0.0798026260153212
selected,smote,xgboost,0.8503212833533267,0.0814476214547885
full,random_over,random_forest,0.8492141676600127,0.08343984187740058
mannwhitney,smote,xgboost,0.8490424059127231,0.08319737809241208
full,smote,xgboost,0.8486732949477294,0.07779794068246292
selected,class_weight,random_forest,0.848157476427072,0.07648995053887211
mannwhitney,class_weight,random_forest,0.8478467106109269,0.08602004195063612
full,random_over,lgbm,0.8471092099561132,0.0864628851328983
selected,smote,random_forest,0.8468820577578378,0.08248157099012762
full,class_weight,catboost,0.8453791485142389,0.08389840134265854
full,smote,random_forest,0.8445947499844069,0.08071706156536052
full,random_over,catboost,0.8441290485983938,0.09098470439906804
mannwhitney,smote,random_forest,0.842257623481423,0.09100121051350994
mannwhitney,random_over,catboost,0.8417882244917205,0.0883484266230279
selected,class_weight,catboost,0.8407387226758894,0.08844230696195478
full,smote,catboost,0.8392205268275099,0.08441742314062878
selected,random_over,catboost,0.8375102338521936,0.08827567272334597
mannwhitney,smote,catboost,0.8375067048247459,0.08878932442019087
mannwhitney,class_weight,catboost,0.8373539100934808,0.09060915679361427
mannwhitney,random_over,lgbm,0.8316238211141099,0.091829340543999
selected,smote,catboost,0.8272628210636075,0.09034906726003744
selected,random_over,lgbm,0.8201272194615015,0.11073783691715183
mannwhitney,smote,lgbm,0.7945850979351231,0.10900502967313569
selected,smote,lgbm,0.7873184302718663,0.08800490443778565
full,class_weight,logistic_regression,0.7803410524722869,0.06944304275252759
full,random_over,logistic_regression,0.780334480712513,0.06944637587235722
full,smote,logistic_regression,0.7801837370871318,0.06723819850912331
selected,smote,logistic_regression,0.780115135107506,0.06831046579483441
selected,random_over,logistic_regression,0.7797143800307624,0.06779019454607266
selected,class_weight,logistic_regression,0.7796592207409402,0.06809252242586253
mannwhitney,smote,logistic_regression,0.7771568719129853,0.06647550020721854
mannwhitney,random_over,logistic_regression,0.7729878148182524,0.06590532229514565
mannwhitney,class_weight,logistic_regression,0.7727218654287203,0.06592787008901523
mannwhitney,random_under,random_forest,0.7545684628764163,0.08747183323710077
full,smote,lgbm,0.751982907233187,0.07974070218788248
full,random_under,random_forest,0.7485936400536082,0.0761318390200856
selected,random_under,random_forest,0.7465144691229567,0.07562763141193336
full,random_under,catboost,0.7101157838631798,0.07985404538472378
selected,random_under,catboost,0.7090132610900154,0.08368852269418388
mannwhitney,random_under,lgbm,0.7063794474921472,0.09456547651495055
mannwhitney,random_under,catboost,0.6940104366916053,0.0963978775140406
full,random_under,lgbm,0.6929141140263948,0.08695878751818882
selected,random_under,lgbm,0.6882035159196764,0.09726807994957909
mannwhitney,random_under,xgboost,0.6866368555999135,0.11084898364997375
full,random_under,xgboost,0.6539507526658987,0.11772309203900676
selected,random_under,xgboost,0.644963129559321,0.18973127066535747
full,random_under,logistic_regression,0.45881310317887386,0.12369476145665453
mannwhitney,random_under,logistic_regression,0.4580508791264787,0.1443796504419939
selected,random_under,logistic_regression,0.45404068837354244,0.12147101718343431
selected,class_weight,lgbm,0.030106089588592583,0.019909868088999638
full,class_weight,lgbm,0.022330478932727105,0.015435465394827905
mannwhitney,class_weight,lgbm,0.016522790888182405,0.019522994148015074
